changed_from_prior,count,mean,median,min,max
not_changed,96,83.60758279561398,84.1981690225427,58.73929416568679,97.98824328922112
changed,30,80.82650550258204,84.5855159476163,0.0,98.91653747929988
no_prior_available,12,78.26901508469541,81.81294844806584,60.896055870561206,90.57811931959708
